Skpd,Id Sub Skpd,Sub Skpd
DINAS PENDIDIKAN,92,SMAN 1 Juai
DINAS PENDIDIKAN,530,SMAN 1 Lampihong
DINAS PENDIDIKAN,93,SMAN 1 Paringin
DINAS PENDIDIKAN,396,SMAN 1 Tebing Tinggi
DINAS PENDIDIKAN,528,SMAN 2 Halong
DINAS PENDIDIKAN,529,SMAN 2 Juai
DINAS PENDIDIKAN,94,SMAN 2 Paringin
DINAS PENDIDIKAN,97,SMK PPN Paringin
DINAS PENDIDIKAN,95,SMKN 1 Batumandi
DINAS PENDIDIKAN,96,SMKN 1 Paringin
DINAS PENDIDIKAN,98,SMPN 1 Awayan
DINAS PENDIDIKAN,99,SMPN 1 Batumandi
DINAS PENDIDIKAN,100,SMPN 1 Halong
DINAS PENDIDIKAN,101,SMPN 1 Juai
DINAS PENDIDIKAN,102,SMPN 1 Lampihong
DINAS PENDIDIKAN,103,SMPN 1 Paringin
DINAS PENDIDIKAN,104,SMPN 2 Awayan
DINAS PENDIDIKAN,105,SMPN 2 Batumandi
DINAS PENDIDIKAN,106,SMPN 2 Halong
DINAS PENDIDIKAN,107,SMPN 2 Juai
DINAS PENDIDIKAN,108,SMPN 2 Lampihong
DINAS PENDIDIKAN,109,SMPN 2 Paringin
DINAS PENDIDIKAN,110,SMPN 3 Awayan
DINAS PENDIDIKAN,111,SMPN 3 Batumandi
DINAS PENDIDIKAN,112,SMPN 3 Halong
DINAS PENDIDIKAN,113,SMPN 3 Paringin
DINAS PENDIDIKAN,114,SMPN 4 Awayan
DINAS PENDIDIKAN,397,SMPN 4 Batumandi
DINAS PENDIDIKAN,115,SMPN 4 Halong
DINAS PENDIDIKAN,116,SMPN 4 Paringin
DINAS PENDIDIKAN,117,SMPN 5 Halong
DINAS PENDIDIKAN,118,SMPN 5 Paringin
DINAS PENDIDIKAN,592,SMPN 6 Halong Satu Atap
DINAS PENDIDIKAN,614,SMPN Satu Atap Libaru Sungkai
DINAS PENDIDIKAN,591,SMPS Ikhwanul Muslimin
DINAS PENDIDIKAN,300,TK Harapan Bangsa
DINAS PENDIDIKAN,607,TK Negeri Pembina Awayan
DINAS PENDIDIKAN,264,TK Negeri Pembina Batumandi
DINAS PENDIDIKAN,292,TK Negeri Pembina Juai
DINAS PENDIDIKAN,183,TK Negeri Pembina Paringin
DINAS PENDIDIKAN,608,TK Negeri Pembina Paringin Selatan
DINAS PENDIDIKAN,532,SD Kecil Ambata
DINAS PENDIDIKAN,333,SD Kecil Ampinang
DINAS PENDIDIKAN,337,SD Kecil Hampang
DINAS PENDIDIKAN,531,SD Kecil Kurihai
DINAS PENDIDIKAN,335,SD Kecil Libaru Sungkai
DINAS PENDIDIKAN,334,SD Kecil Mabulan
DINAS PENDIDIKAN,144,SD Kecil Papuyuan
DINAS PENDIDIKAN,366,SD Kecil Rantau Paku
DINAS PENDIDIKAN,365,SD Kecil Raranum
DINAS PENDIDIKAN,535,SD Kecil Simpang Nadong
DINAS PENDIDIKAN,534,SD Kecil Tampaan
DINAS PENDIDIKAN,533,SD Kecil Tanjungan Jelamu
DINAS PENDIDIKAN,336,SD Kecil Tinggar
DINAS PENDIDIKAN,590,SDIT Darul Fikri
DINAS PENDIDIKAN,178,SDLB Negeri Paringin
DINAS PENDIDIKAN,354,SDK Andamai
DINAS PENDIDIKAN,352,SDK Mapat
DINAS PENDIDIKAN,351,SDK Sawang
DINAS PENDIDIKAN,353,SDK Sisirin
