289,SDN Teluk Bayur 3,150,150_SDN Teluk Bayur 3,sdn ajung
246,SDN Teluk Mesjid 1,151,151_SDN Teluk Mesjid 1,sdn ajung
247,SDN Teluk Mesjid 2,152,152_SDN Teluk Mesjid 2,sdn ajung
290,SDN Tigarun,153,153_SDN Tigarun,sdn ajung
248,SDN Timbun Tulang,154,154_SDN Timbun Tulang,sdn ajung
210,SDN Tundakan,155,155_SDN Tundakan,sdn ajung
211,SDN Tundi,156,156_SDN Tundi,sdn ajung
212,SDN U ungan,157,157_SDN U ungan,sdn ajung
332,SDN Uren 1,158,158_SDN Uren 1,sdn ajung
213,SDN Wangkili,159,159_SDN Wangkili,sdn ajung
179,SKB Balangan,160,160_SKB Balangan,sdn ajung
90,SMAN 1 Awayan,161,161_SMAN 1 Awayan,sdn ajung
91,SMAN 1 Halong,162,162_SMAN 1 Halong,sdn ajung
92,SMAN 1 Juai,163,163_SMAN 1 Juai,sdn ajung
530,SMAN 1 Lampihong,164,164_SMAN 1 Lampihong,sdn ajung
93,SMAN 1 Paringin,165,165_SMAN 1 Paringin,sdn ajung
396,SMAN 1 Tebing Tinggi,166,166_SMAN 1 Tebing Tinggi,sdn ajung
528,SMAN 2 Halong,167,167_SMAN 2 Halong,sdn ajung
529,SMAN 2 Juai,168,168_SMAN 2 Juai,sdn ajung
94,SMAN 2 Paringin,169,169_SMAN 2 Paringin,sdn ajung
97,SMK PPN Paringin,170,170_SMK PPN Paringin,sdn ajung
95,SMKN 1 Batumandi,171,171_SMKN 1 Batumandi,sdn ajung
96,SMKN 1 Paringin,172,172_SMKN 1 Paringin,sdn ajung
98,SMPN 1 Awayan,173,173_SMPN 1 Awayan,sdn ajung
99,SMPN 1 Batumandi,174,174_SMPN 1 Batumandi,sdn ajung
100,SMPN 1 Halong,175,175_SMPN 1 Halong,sdn ajung
101,SMPN 1 Juai,176,176_SMPN 1 Juai,sdn ajung
102,SMPN 1 Lampihong,177,177_SMPN 1 Lampihong,sdn ajung
103,SMPN 1 Paringin,178,178_SMPN 1 Paringin,sdn ajung
104,SMPN 2 Awayan,179,179_SMPN 2 Awayan,sdn ajung
105,SMPN 2 Batumandi,180,180_SMPN 2 Batumandi,sdn ajung
106,SMPN 2 Halong,181,181_SMPN 2 Halong,sdn ajung
107,SMPN 2 Juai,182,182_SMPN 2 Juai,sdn ajung
108,SMPN 2 Lampihong,183,183_SMPN 2 Lampihong,sdn ajung
109,SMPN 2 Paringin,184,184_SMPN 2 Paringin,sdn ajung
110,SMPN 3 Awayan,185,185_SMPN 3 Awayan,sdn ajung
111,SMPN 3 Batumandi,186,186_SMPN 3 Batumandi,sdn ajung
112,SMPN 3 Halong,187,187_SMPN 3 Halong,sdn ajung
113,SMPN 3 Paringin,188,188_SMPN 3 Paringin,sdn ajung
114,SMPN 4 Awayan,189,189_SMPN 4 Awayan,sdn ajung
397,SMPN 4 Batumandi,190,190_SMPN 4 Batumandi,sdn ajung
115,SMPN 4 Halong,191,191_SMPN 4 Halong,sdn ajung
116,SMPN 4 Paringin,192,192_SMPN 4 Paringin,sdn ajung
117,SMPN 5 Halong,193,193_SMPN 5 Halong,sdn ajung
118,SMPN 5 Paringin,194,194_SMPN 5 Paringin,sdn ajung
592,SMPN 6 Halong Satu Atap,195,195_SMPN 6 Halong Satu Atap,sdn ajung
614,SMPN Satu Atap Libaru Sungkai,196,196_SMPN Satu Atap Libaru Sungkai,sdn ajung
591,SMPS Ikhwanul Muslimin,197,197_SMPS Ikhwanul Muslimin,sdn ajung
300,TK Harapan Bangsa,198,198_TK Harapan Bangsa,sdn ajung
607,TK Negeri Pembina Awayan,199,199_TK Negeri Pembina Awayan,sdn ajung
264,TK Negeri Pembina Batumandi,200,200_TK Negeri Pembina Batumandi,sdn ajung
292,TK Negeri Pembina Juai,201,201_TK Negeri Pembina Juai,sdn ajung
183,TK Negeri Pembina Paringin,202,202_TK Negeri Pembina Paringin,sdn ajung
608,TK Negeri Pembina Paringin Selatan,203,203_TK Negeri Pembina Paringin Selatan,sdn ajung
178,SDLB Negeri Paringin,204,204_SDLB Negeri Paringin,sdn ajung
88,UPT Kecamatan Tebing Tinggi,205,205_UPT Kecamatan Tebing Tinggi,sdn ajung
89,UPT Kecamatan Paringin Selatan,206,206_UPT Kecamatan Paringin Selatan,sdn ajung
83,UPT Kecamatan Paringin,207,207_UPT Kecamatan Paringin,sdn ajung
82,UPT Kecamatan Lampihong,208,208_UPT Kecamatan Lampihong,sdn ajung
86,UPT Kecamatan Juai,209,209_UPT Kecamatan Juai,sdn ajung
87,UPT Kecamatan Halong,210,210_UPT Kecamatan Halong,sdn ajung
84,UPT Kecamatan Batumandi,211,211_UPT Kecamatan Batumandi,sdn ajung
85,UPT Kecamatan Awayan,212,212_UPT Kecamatan Awayan,sdn ajung
249,MIN Tariwin,213,213_MIN Tariwin,sdn ajung
536,PAUD Terpadu Awayan,214,214_PAUD Terpadu Awayan,sdn ajung
609,Rumah Pintar,215,215_Rumah Pintar,sdn ajung
590,SDIT Darul Fikri,216,216_SDIT Darul Fikri,sdn ajung
532,SD Kecil Ambata,217,217_SD Kecil Ambata,sdn ajung
333,SD Kecil Ampinang,218,218_SD Kecil Ampinang,sdn ajung
337,SD Kecil Hampang,219,219_SD Kecil Hampang,sdn ajung
531,SD Kecil Kurihai,220,220_SD Kecil Kurihai,sdn ajung
335,SD Kecil Libaru Sungkai,221,221_SD Kecil Libaru Sungkai,sdn ajung
334,SD Kecil Mabulan,222,222_SD Kecil Mabulan,sdn ajung
144,SD Kecil Papuyuan,223,223_SD Kecil Papuyuan,sdn ajung
366,SD Kecil Rantau Paku,224,224_SD Kecil Rantau Paku,sdn ajung
365,SD Kecil Raranum,225,225_SD Kecil Raranum,sdn ajung
535,SD Kecil Simpang Nadong,226,226_SD Kecil Simpang Nadong,sdn ajung
534,SD Kecil Tampaan,227,227_SD Kecil Tampaan,sdn ajung
533,SD Kecil Tanjungan Jelamu,228,228_SD Kecil Tanjungan Jelamu,sdn ajung
336,SD Kecil Tinggar,229,229_SD Kecil Tinggar,sdn ajung
354,SDK Andamai,230,230_SDK Andamai,sdn ajung
352,SDK Mapat,231,231_SDK Mapat,sdn ajung
351,SDK Sawang,232,232_SDK Sawang,sdn ajung
353,SDK Sisirin,233,233_SDK Sisirin,sdn ajung
