smpn 2 awayan,104,179_SMPN 2 Awayan
smpn 2 batumandi,105,180_SMPN 2 Batumandi
smpn 2 halong,106,181_SMPN 2 Halong
smpn 2 juai,107,182_SMPN 2 Juai
smpn 2 lampihong,108,183_SMPN 2 Lampihong
smpn 2 paringin,109,184_SMPN 2 Paringin
smpn 3 awayan,110,185_SMPN 3 Awayan
smpn 3 batumandi,111,186_SMPN 3 Batumandi
smpn 3 halong,112,187_SMPN 3 Halong
smpn 3 paringin,113,188_SMPN 3 Paringin
smpn 4 awayan,114,189_SMPN 4 Awayan
smpn 4 batumandi,397,190_SMPN 4 Batumandi
smpn 4 halong,115,191_SMPN 4 Halong
smpn 4 paringin,116,192_SMPN 4 Paringin
smpn 5 halong,117,193_SMPN 5 Halong
smpn 5 paringin,118,194_SMPN 5 Paringin
smpn 6 halong satu atap,592,195_SMPN 6 Halong Satu Atap
smpn satu atap libaru sungkai,614,196_SMPN Satu Atap Libaru Sungkai
smps ikhwanul muslimin,591,197_SMPS Ikhwanul Muslimin
tk harapan bangsa,300,198_TK Harapan Bangsa
tk negeri pembina awayan,607,199_TK Negeri Pembina Awayan
tk negeri pembina batumandi,264,200_TK Negeri Pembina Batumandi
tk negeri pembina juai,292,201_TK Negeri Pembina Juai
tk negeri pembina paringin,183,202_TK Negeri Pembina Paringin
tk negeri pembina paringin selatan,608,203_TK Negeri Pembina Paringin Selatan
sdlb negeri paringin,178,204_SDLB Negeri Paringin
upt. kecamatan tebing tinggi,88,205_UPT. Kecamatan Tebing Tinggi
upt. kecamatan paringin selatan,89,206_UPT. Kecamatan Paringin Selatan
upt. kecamatan paringin,83,207_UPT. Kecamatan Paringin
upt. kecamatan lampihong,82,208_UPT. Kecamatan Lampihong
upt. kecamatan juai,86,209_UPT. Kecamatan Juai
upt. kecamatan halong,87,210_UPT. Kecamatan Halong
upt. kecamatan batumandi,84,211_UPT. Kecamatan Batumandi
upt. kecamatan awayan,85,212_UPT. Kecamatan Awayan
min tariwin,249,213_MIN Tariwin
paud terpadu awayan,536,214_PAUD Terpadu Awayan
rumah pintar,609,215_Rumah Pintar
sdit darul fikri,590,216_SDIT Darul Fikri
sd kecil ambata,532,217_SD Kecil Ambata
sd kecil ampinang,333,218_SD Kecil Ampinang
sd kecil hampang,337,219_SD Kecil Hampang
sd kecil kurihai,531,220_SD Kecil Kurihai
sd kecil libaru sungkai,335,221_SD Kecil Libaru Sungkai
sd kecil mabulan,334,222_SD Kecil Mabulan
sd kecil papuyuan,144,223_SD Kecil Papuyuan
sd kecil rantau paku,366,224_SD Kecil Rantau Paku
sd kecil raranum,365,225_SD Kecil Raranum
sd kecil simpang nadong,535,226_SD Kecil Simpang Nadong
sd kecil tampaan,534,227_SD Kecil Tampaan
sd kecil tanjungan jelamu,533,228_SD Kecil Tanjungan Jelamu
sd kecil tinggar,336,229_SD Kecil Tinggar
sdk andamai,354,230_SDK Andamai
sdk mapat,352,231_SDK Mapat
sdk sawang,351,232_SDK Sawang
sdk sisirin,353,233_SDK Sisirin
